sample_id,study_name,PMID,sample_accession,study_accession,bedaquiline,clofazimine,linezolid,delamanid,pretomanid
62,"Chesov E, 2022",34503982,ERR4872327,PRJEB41518,R,S,NA,NA,NA
63,"Chesov E, 2022",34503982,ERR4872352,PRJEB41518,S,S,NA,NA,NA
64,"Chesov E, 2022",34503982,ERR4872279,PRJEB41518,S,S,NA,NA,NA
65,"Chesov E, 2022",34503982,ERR4872324,PRJEB41518,S,S,NA,NA,NA
66,"Chesov E, 2022",34503982,ERR4872333,PRJEB41518,S,S,NA,NA,NA
67,"Chesov E, 2022",34503982,ERR4872345,PRJEB41518,S,S,NA,NA,NA
68,"Chesov E, 2022",34503982,ERR4872268,PRJEB41518,S,S,NA,NA,NA
68,"Chesov E, 2022",34503982,ERR4872282,PRJEB41518,S,S,NA,NA,NA
69,"Chesov E, 2022",34503982,ERR4872351,PRJEB41518,R,S,NA,NA,NA
69,"Chesov E, 2022",34503982,ERR4872262,PRJEB41518,S,S,NA,NA,NA
70,"Chesov E, 2022",34503982,ERR4872291,PRJEB41518,S,S,NA,NA,NA
71,"Chesov E, 2022",34503982,ERR4872296,PRJEB41518,R,R,NA,NA,NA
SEA201600059,"Mansjö M, 2022",36409105,ERR9662700,PRJEB52416,NA,NA,NA,S,NA
SEA201600109,"Mansjö M, 2022",36409105,ERR9662701,PRJEB52416,NA,NA,NA,R,NA
SEA201600229,"Mansjö M, 2022",36409105,ERR9662702,PRJEB52416,NA,NA,NA,R,NA
SEA201700050,"Mansjö M, 2022",36409105,ERR9662703,PRJEB52416,NA,NA,NA,R,NA
SEA201800144,"Mansjö M, 2022",36409105,ERR9662704,PRJEB52416,NA,NA,NA,R,NA
SEA201900100,"Mansjö M, 2022",36409105,ERR9662705,PRJEB52416,NA,NA,NA,R,NA
SEA201900143,"Mansjö M, 2022",36409105,ERR9662706,PRJEB52416,NA,NA,NA,R,NA
SEA202000009,"Mansjö M, 2022",36409105,ERR9662707,PRJEB52416,NA,NA,NA,R,NA
SEA202000050,"Mansjö M, 2022",36409105,ERR9662708,PRJEB52416,NA,NA,NA,R,NA
SEA21-00009,"Mansjö M, 2022",36409105,ERR9662709,PRJEB52416,NA,NA,NA,R,NA
SEA21-01048,"Mansjö M, 2022",36409105,ERR9662710,PRJEB52416,NA,NA,NA,R,NA
SEA202000011,"Mansjö M, 2022",36409105,ERR9662711,PRJEB52416,NA,NA,NA,S,NA
SEA202000020,"Mansjö M, 2022",36409105,ERR9662712,PRJEB52416,NA,NA,NA,S,NA
SEA202000060,"Mansjö M, 2022",36409105,ERR9662713,PRJEB52416,NA,NA,NA,S,NA
SEA202000061,"Mansjö M, 2022",36409105,ERR9662714,PRJEB52416,NA,NA,NA,S,NA
SEA202000077,"Mansjö M, 2022",36409105,ERR9662715,PRJEB52416,NA,NA,NA,S,NA
SEA202000091,"Mansjö M, 2022",36409105,ERR9662716,PRJEB52416,NA,NA,NA,S,NA
SEA202000094,"Mansjö M, 2022",36409105,ERR9662717,PRJEB52416,NA,NA,NA,S,NA
SEA202000130,"Mansjö M, 2022",36409105,ERR9662718,PRJEB52416,NA,NA,NA,S,NA
SEA202000144,"Mansjö M, 2022",36409105,ERR9662719,PRJEB52416,NA,NA,NA,S,NA
SEA202000208,"Mansjö M, 2022",36409105,ERR9662720,PRJEB52416,NA,NA,NA,S,NA
SEA202000218,"Mansjö M, 2022",36409105,ERR9662721,PRJEB52416,NA,NA,NA,S,NA
SEA202000225,"Mansjö M, 2022",36409105,ERR9662722,PRJEB52416,NA,NA,NA,S,NA
SEA202000229,"Mansjö M, 2022",36409105,ERR9662723,PRJEB52416,NA,NA,NA,S,NA
12,"Reichmuth ML, 2020",32868333,SRR3732726,PRJNA300846,NA,NA,NA,0.5,NA
5,"Reichmuth ML, 2020",32868333,SRR7517760,PRJNA300846,NA,NA,NA,0.015,NA
2,"Reichmuth ML, 2020",32868333,SRR3725721,PRJNA300846,NA,NA,NA,0.015,NA
7,"Reichmuth ML, 2020",32868333,SRR11098556,PRJNA300846,NA,NA,NA,0.015,NA
4,"Reichmuth ML, 2020",32868333,SRR3732710;SRR7517741,PRJNA300846,NA,NA,NA,0.015,NA
11,"Reichmuth ML, 2020",32868333,SRR11098558,PRJNA300846,NA,NA,NA,0.03,NA
9,"Reichmuth ML, 2020",32868333,SRR11098557,PRJNA300846,NA,NA,NA,0.015,NA
3,"Reichmuth ML, 2020",32868333,SRR3725710,PRJNA300846,NA,NA,NA,0.015,NA
13,"Reichmuth ML, 2020",32868333,SRR3725356,PRJNA300846,NA,NA,NA,8,NA
10,"Reichmuth ML, 2020",32868333,SRR3724811,PRJNA300846,NA,NA,NA,0.03,NA
CH-2014186009,"Hoffmann H, 2016",26829425,ERR978256,PRJEB9936,NA,NA,NA,S,NA
GB4492-175,"Hoffmann H, 2016",26829425,ERR978257,PRJEB9936,NA,NA,NA,R,NA
2011186000,"Bloemberg GV, 2015",26559594,ERR789235,PRJEB8800,R,R,R,not tested,NA
2013186116,"Bloemberg GV, 2015",26559594,ERR789234,PRJEB8800,R,R,R,not tested,NA
2014186001,"Bloemberg GV, 2015",26559594,ERR789238,PRJEB8800,not tested,R,R,not tested,NA
2014186011,"Bloemberg GV, 2015",26559594,ERR789236,PRJEB8800,not tested,R,R,R,NA
2014186023,"Bloemberg GV, 2015",26559594,ERR789239,PRJEB8800,R,R,R,R,NA
CG01554911,battaglia2020,32907992,SRR6855908,SRP128089,0.06,NA,NA,NA,NA
140211,battaglia2020,32907992,SRR6797615,SRP128089,0.06,NA,NA,NA,NA
11364-13,battaglia2020,32907992,SRR6485151,SRP128089,0.03,NA,NA,NA,NA
111257,battaglia2020,32907992,SRR6442525,SRP128089,0.03,NA,NA,NA,NA
130651,battaglia2020,32907992,SRR6964609,SRP128089,0.06,NA,NA,NA,NA
132143,battaglia2020,32907992,SRR6964594,SRP128089,0.5,NA,NA,NA,NA
130667,battaglia2020,32907992,SRR6964638,SRP128089,0.5,NA,NA,NA,NA
131592,battaglia2020,32907992,SRR6650174,SRP128089,0.06,NA,NA,NA,NA
ED00890569,battaglia2020,32907992,SRR6896312,SRP128089,0.008,NA,NA,NA,NA
132356,battaglia2020,32907992,SRR6797411,SRP128089,0.12,NA,NA,NA,NA
TRL0080884,battaglia2020,32907992,SRR6982161,SRP128089,0.008,NA,NA,NA,NA
131623,battaglia2020,32907992,SRR6650297,SRP128089,0.03,NA,NA,NA,NA
TRL0058706,battaglia2020,32907992,SRR6982287,SRP128089,0.12,NA,NA,NA,NA
131559,battaglia2020,32907992,SRR6650283,SRP128089,0.25,NA,NA,NA,NA
131168,battaglia2020,32907992,SRR6650396,SRP128089,0.03,NA,NA,NA,NA
131617,battaglia2020,32907992,SRR6650352,SRP128089,0.25,NA,NA,NA,NA
11521-13,battaglia2020,32907992,SRR6484938,SRP128089,0.12,NA,NA,NA,NA
140019,battaglia2020,32907992,SRR6964563,SRP128089,0.12,NA,NA,NA,NA
1182-13,battaglia2020,32907992,SRR6484902,SRP128089,0.03,NA,NA,NA,NA
1158-13,battaglia2020,32907992,SRR6485146,SRP128089,0.06,NA,NA,NA,NA
3617-13,battaglia2020,32907992,SRR6785391,SRP128089,0.06,NA,NA,0.015,NA
132802,battaglia2020,32907992,SRR6797288,SRP128089,0.015,NA,NA,> 4,NA
TRL0065783,battaglia2020,32907992,SRR6982151,SRP128089,0.008,NA,NA,NA,NA
BF01375053,battaglia2020,32907992,SRR6856018,SRP128089,0.008,NA,NA,NA,NA
131243,battaglia2020,32907992,SRR6650148,SRP128089,0.015,NA,NA,NA,NA
132330,battaglia2020,32907992,SRR6797717,SRP128089,0.06,NA,NA,NA,NA
132131,battaglia2020,32907992,SRR6964672,SRP128089,0.03,NA,NA,NA,NA
7636-13,battaglia2020,32907992,SRR6785424,SRP128089,0.03,NA,NA,NA,NA
37-0516,battaglia2020,32907992,SRR6832423,SRP128089,0.008,NA,NA,NA,NA
131110,battaglia2020,32907992,SRR6650274,SRP128089,0.06,NA,NA,NA,NA
131620,battaglia2020,32907992,SRR6650353,SRP128089,0.015,NA,NA,NA,NA
140037,battaglia2020,32907992,SRR6964587,SRP128089,0.03,NA,NA,NA,NA
140207,battaglia2020,32907992,SRR6797449,SRP128089,0.008,NA,NA,NA,NA
131261,battaglia2020,32907992,SRR6650367,SRP128089,0.008,NA,NA,NA,NA
131119,battaglia2020,32907992,SRR6650412,SRP128089,0.06,NA,NA,NA,NA
132368,battaglia2020,32907992,SRR6797824,SRP128089,0.06,NA,NA,NA,NA
131685,battaglia2020,32907992,SRR6797585,SRP128089,0.015,NA,NA,NA,NA
131103,battaglia2020,32907992,SRR6650405,SRP128089,0.015,NA,NA,NA,NA
131586,battaglia2020,32907992,SRR6650139,SRP128089,0.06,NA,NA,NA,NA
132735,battaglia2020,32907992,SRR6797541,SRP128089,0.03,NA,NA,NA,NA
131588,battaglia2020,32907992,SRR6650117,SRP128089,0.008,NA,NA,NA,NA
130765,battaglia2020,32907992,SRR6964508,SRP128089,0.06,NA,NA,NA,NA
140009,battaglia2020,32907992,SRR6964566,SRP128089,0.06,NA,NA,NA,NA
11463-13,battaglia2020,32907992,SRR6484959,SRP128089,0.03,NA,NA,NA,NA
131621,battaglia2020,32907992,SRR6650362,SRP128089,0.12,NA,NA,NA,NA
131655,battaglia2020,32907992,SRR6650298,SRP128089,0.03,NA,NA,NA,NA
132331,battaglia2020,32907992,SRR6797716,SRP128089,0.06,NA,NA,NA,NA
140005,battaglia2020,32907992,SRR6964603,SRP128089,0.015,NA,NA,NA,NA
131122,battaglia2020,32907992,SRR6650131,SRP128089,0.06,NA,NA,NA,NA
132736,battaglia2020,32907992,SRR6797540,SRP128089,0.06,NA,NA,NA,NA
130820,battaglia2020,32907992,SRR6964661,SRP128089,0.06,NA,NA,NA,NA
TRL0084025,battaglia2020,32907992,SRR6982504,SRP128089,NA,NA,NA,0.004,NA
132321,battaglia2020,32907992,SRR6797364,SRP128089,NA,NA,NA,0.03,NA
TRL0029765,battaglia2020,32907992,SRR6981949,SRP128089,NA,NA,NA,0.008,NA
132348,battaglia2020,32907992,SRR6797546,SRP128089,NA,NA,NA,2,NA
7551-13,battaglia2020,32907992,SRR6785532,SRP128089,NA,NA,NA,0.25,NA
132701,battaglia2020,32907992,SRR6797644,SRP128089,NA,NA,NA,4,NA
83-2839,battaglia2020,32907992,SRR6832602,SRP128089,NA,NA,NA,0.008,NA
