sample_id,study_name,PMID,sample_accession,study_accession,bedaquiline,clofazimine,linezolid,delamanid,delamanid
SRR6824409,gomes2021;huang2019,,SRR6824409,NA,0,0,NA,0,
SRR6824287,gomes2021;huang2019,,SRR6824287,NA,0,0,NA,0,
SRR6824286,gomes2021;huang2019,,SRR6824286,NA,0,0,NA,0,
SRR6824289,gomes2021;huang2019,,SRR6824289,NA,0,0,NA,0,
SRR6824288,gomes2021;huang2019,,SRR6824288,NA,0,0,NA,0,
SRR6824291,gomes2021;huang2019,,SRR6824291,NA,0,0,NA,0,
SRR6824293,gomes2021;huang2019,,SRR6824293,NA,0,0,NA,0,
SRR6824598,gomes2021;huang2019,,SRR6824598,NA,0,0,NA,0,
SRR6824595,gomes2021;huang2019,,SRR6824595,NA,0,0,NA,0,
SRR6824602,gomes2021;huang2019,,SRR6824602,NA,0,0,NA,0,
SRR6824599,gomes2021;huang2019,,SRR6824599,NA,0,0,NA,0,
SRR6824593,gomes2021;huang2019,,SRR6824593,NA,1,1,NA,0,
SRR6824594,gomes2021;huang2019,,SRR6824594,NA,0,0,NA,0,
SRR6824362,gomes2021;huang2019,,SRR6824362,NA,0,0,NA,0,
SRR6824360,gomes2021;huang2019,,SRR6824360,NA,0,0,NA,0,
SRR6824365,gomes2021;huang2019,,SRR6824365,NA,0,0,NA,0,
SRR6824366,gomes2021;huang2019,,SRR6824366,NA,0,0,NA,0,
SRR6824363,gomes2021;huang2019,,SRR6824363,NA,0,0,NA,0,
SRR6824364,huang2019,,SRR6824364,NA,0,0,0,0,
SRR6824357,huang2019,,SRR6824357,NA,0,0,0,0,
SRR6824358,gomes2021;huang2019,,SRR6824358,NA,0,0,NA,0,
SRR6824480,gomes2021;huang2019,,SRR6824480,NA,0,0,NA,0,
SRR6824479,gomes2021;huang2019,,SRR6824479,NA,0,0,NA,0,
SRR6824482,gomes2021;huang2019,,SRR6824482,NA,0,0,NA,0,
SRR6824484,gomes2021;huang2019,,SRR6824484,NA,0,1,NA,0,
SRR6824483,gomes2021;huang2019,,SRR6824483,NA,0,0,NA,0,
SRR6824486,gomes2021;huang2019,,SRR6824486,NA,0,0,NA,0,
